sample_id,image_path,country_id,country,x1,y1,x2,y2,x_center,y_center,w,h,conf,cls,image_id
942933463122152_0,images/942933463122152.jpg,37,FI,0.35614681034297735,0.7040813565254211,0.3649429153610062,0.7820537090301514,0.3605448628519918,0.7430675327777863,0.008796105018028855,0.07797235250473022,0.8832369446754456,0.0,942933463122152
1153937771791490_0,images/1153937771791490.jpg,75,MG,0.6272836724334448,0.5367238521575928,0.6585785091098103,0.7508655190467834,0.6429310907716276,0.6437946856021881,0.031294836676365456,0.21414166688919067,0.5872491002082825,0.0,1153937771791490
4039274209497753_0,images/4039274209497753.jpg,59,IS,0.6535298188061308,0.6182340383529663,0.6688346079717283,0.700547456741333,0.6611822133889296,0.6593907475471497,0.015304789165597521,0.0823134183883667,0.41555115580558777,0.0,4039274209497753
522062709161330_0,images/522062709161330.jpg,6,AU,0.635037600339114,0.43029898405075073,0.6442849630837912,0.49607592821121216,0.6396612817114526,0.46318745613098145,0.00924736274467719,0.06577694416046143,0.8202117085456848,0.0,522062709161330
583249533067997_0,images/583249533067997.jpg,95,PL,0.17850444044185873,0.6439066529273987,0.19425498984775935,0.7408193945884705,0.18637971514480905,0.6923630237579346,0.01575054940590062,0.09691274166107178,0.8597466349601746,0.0,583249533067997
871810460215015_0,images/871810460215015.jpg,6,AU,0.25893053327287946,0.4764257073402405,0.27082705654940764,0.5874417424201965,0.2648787949111435,0.5319337248802185,0.011896523276528181,0.11101603507995605,0.7667453289031982,0.0,871810460215015
467754687829671_0,images/467754687829671.jpg,90,PE,0.09349848727676525,0.4826160967350006,0.12854073264382102,0.7386440634727478,0.11101960996029314,0.6106300801038742,0.03504224536705576,0.2560279667377472,0.8273681402206421,0.0,467754687829671
460416629106675_0,images/460416629106675.jpg,57,IN,0.6312328376392327,0.44872748851776123,0.6432603221259626,0.4879176914691925,0.6372465798825977,0.46832258999347687,0.012027484486729967,0.039190202951431274,0.3954899311065674,0.0,460416629106675
665143004508685_0,images/665143004508685.jpg,57,IN,0.7397616657693366,0.638573944568634,0.7552167159720949,0.6981458067893982,0.7474891908707157,0.6683598756790161,0.015455050202758391,0.05957186222076416,0.7588071227073669,0.0,665143004508685
1922437061244467_0,images/1922437061244467.jpg,100,RS,0.9474744153512188,0.5507403016090393,0.9679240565146169,0.6681199073791504,0.9576992359329178,0.6094301044940948,0.02044964116339809,0.11737960577011108,0.8572551012039185,0.0,1922437061244467
